scenario_id,algorithm,run_id,group_name,scenario_type,n,uav_count,HV,IGD+,runtime_sec,n_solutions,feasible_rate,C,A,G,AS,total_sorties,used_uavs,uav_load_std,uav_load_range,min_C,min_A,min_G,max_AS,mutation_cfm_attempts,mutation_cfm_accepts,mutation_bbr_attempts,mutation_bbr_accepts,mutation_bbr_overload_triggers,mutation_bbr_imbalance_triggers,ls_calls,ls_structure_moves,ls_time_moves,ls_boundary_balance_moves
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,1,mechanism_50_4,multi_hotspot_boundary,50,4,0.6838337863940771,0.06370747422897202,38.96704879193567,140,1.0,727.4817561056036,1074493.5073194706,54.36652338837665,0.36019608487746346,4.0,4.0,0.0,0.0,698.7711313558934,478126.5652530187,45.625609608860366,0.4386427445785319,5220.0,4988.0,7715.0,2657.0,268.0,2688.0,868.0,6830.0,3419.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,2,mechanism_50_4,multi_hotspot_boundary,50,4,0.7105412766380292,0.05880976295087468,35.508915833197534,140,1.0,726.1933278994559,979947.5265915899,57.992520972505844,0.36064207909325374,4.0,4.0,0.0,0.0,699.103528098278,475154.7958462947,43.84225772351469,0.44141573431498116,5157.0,4922.0,7831.0,1962.0,118.0,1991.0,868.0,6688.0,3295.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,3,mechanism_50_4,multi_hotspot_boundary,50,4,0.694666580301551,0.06796136394869035,34.680941957980394,139,1.0,849.2958795312734,749686.2097442595,60.842504400601584,0.33138767967792204,4.0,4.0,0.0,0.0,717.4298371757061,491630.23726105853,44.19033267314174,0.45506394847814846,5170.0,4863.0,7794.0,1682.0,137.0,1694.0,868.0,6899.0,3366.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,4,mechanism_50_4,multi_hotspot_boundary,50,4,0.791485331587956,0.014254056503148408,36.11799529194832,140,1.0,669.3923129133525,863702.7915712388,56.13501742091823,0.3386714166266349,3.0,3.0,0.0,0.0,604.0110340954781,482872.2396663191,46.217564669541225,0.4052041392071512,5219.0,5089.0,7697.0,2295.0,38.0,2412.0,868.0,6697.0,3279.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,5,mechanism_50_4,multi_hotspot_boundary,50,4,0.8027599104794769,0.01551078729303455,35.97793066711165,139,1.0,654.2292918878603,837494.5055972305,59.068959471231494,0.36346875646207777,3.0,3.0,0.0,0.0,596.8106785309886,460184.89893484634,45.37847658246304,0.43260283490335266,5178.0,5020.0,7856.0,2951.0,125.0,3118.0,868.0,6880.0,3438.0,2.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,6,mechanism_50_4,multi_hotspot_boundary,50,4,0.7882247014529051,0.018112432335468994,43.00059091602452,140,1.0,690.2030391786072,845733.1599692731,58.678581270303724,0.32987969202238276,3.0,3.0,0.0,0.0,618.4211155790194,484078.321320547,45.210792513758555,0.4290101064693524,5139.0,4958.0,7762.0,3161.0,663.0,3221.0,868.0,6873.0,3204.0,2.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,7,mechanism_50_4,multi_hotspot_boundary,50,4,0.8003800070470818,0.013426277995395702,34.429842208046466,139,1.0,659.504731776163,841860.8681175123,57.24308186371866,0.3689567717922397,3.0,3.0,0.0,0.0,603.1648930824172,463085.5503391978,45.398189240424,0.4179637591066622,5237.0,5101.0,7898.0,1847.0,31.0,1938.0,868.0,6925.0,3152.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,8,mechanism_50_4,multi_hotspot_boundary,50,4,0.6703271806447089,0.07122710695862351,35.76778170792386,140,1.0,808.8553647220587,829278.4075110531,61.944022921387436,0.3699883439367021,4.0,4.0,0.0,0.0,717.0138972878729,483242.1291358181,45.853007189694665,0.41718589985124166,5037.0,4906.0,7745.0,2206.0,172.0,2235.0,868.0,6854.0,3128.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,9,mechanism_50_4,multi_hotspot_boundary,50,4,0.8004404489650397,0.019557036330830932,37.44382904097438,140,1.0,682.723185901564,941217.8181073942,53.85956539868875,0.3233974060657009,3.0,3.0,0.0,0.0,597.7740835003021,476669.76933340775,44.25241907793383,0.42925027185004455,5238.0,5045.0,7700.0,3005.0,165.0,3148.0,868.0,6919.0,3337.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,10,mechanism_50_4,multi_hotspot_boundary,50,4,0.674231071520395,0.0740959762716882,35.48764125001617,140,1.0,754.7990772053469,981774.7887861049,56.60811836677032,0.36970880427701913,4.0,4.0,0.0,0.0,716.7793797496138,480494.281210392,45.11177396290188,0.4065387176583043,5239.0,4965.0,7760.0,1833.0,67.0,1851.0,868.0,6249.0,3320.0,0.0
