scope,metric,direction,n_blocks,target_algorithm,other_algorithm,friedman_stat,friedman_pvalue,friedman_significant,wilcoxon_stat,wilcoxon_pvalue,target_mean,other_mean,target_median,other_median,target_avg_rank,other_avg_rank,A12_target_vs_other,holm_pvalue,holm_significant
overall,HV,higher,640,msd_ag_nsga2,nsga2,1997.9871754770104,0.0,True,893.0,1.1497214454627781e-104,0.6205589523123118,0.39830040473714623,0.6149195316131539,0.4240284873053807,1.125,3.0640625,0.91277099609375,2.2994428909255563e-104,True
overall,HV,higher,640,msd_ag_nsga2,spea2,1997.9871754770104,0.0,True,341.0,8.752783688173968e-106,0.6205589523123118,0.3777037491229868,0.6149195316131539,0.4010616670253707,1.125,3.33046875,0.9397802734375,2.6258351064521903e-105,True
overall,HV,higher,640,msd_ag_nsga2,moead,1997.9871754770104,0.0,True,0.0,1.77095804918106e-106,0.6205589523123118,0.03220222906523927,0.6149195316131539,0.01117881780405373,1.125,4.9796875,1.0,7.08383219672424e-106,True
overall,HV,higher,640,msd_ag_nsga2,nsga3,1997.9871754770104,0.0,True,3983.0,1.6221664727111364e-98,0.6205589523123118,0.44481191662923286,0.6149195316131539,0.4769814629861745,1.125,2.50078125,0.864599609375,1.6221664727111364e-98,True
overall,IGD+,lower,640,msd_ag_nsga2,nsga2,1841.6875,0.0,True,2539.0,2.2901671983556254e-101,0.045632587773134885,0.2120471668586707,0.04476479775460127,0.1539202531541471,1.3171875,3.0734375,0.92145263671875,4.580334396711251e-101,True
overall,IGD+,lower,640,msd_ag_nsga2,spea2,1841.6875,0.0,True,2047.0,2.3950319580062024e-102,0.045632587773134885,0.22525600209130908,0.04476479775460127,0.16509859257665516,1.3171875,3.2984375,0.94038818359375,7.185095874018607e-102,True
overall,IGD+,lower,640,msd_ag_nsga2,moead,1841.6875,0.0,True,0.0,1.77095804918106e-106,0.045632587773134885,0.7417845794308789,0.04476479775460127,0.7463086505278282,1.3171875,4.9609375,1.0,7.08383219672424e-106,True
overall,IGD+,lower,640,msd_ag_nsga2,nsga3,1841.6875,0.0,True,15755.0,8.072146517956472e-77,0.045632587773134885,0.1634801521375228,0.04476479775460127,0.10347458505649879,1.3171875,2.35,0.8178662109375,8.072146517956472e-77,True
overall,runtime_sec,lower,640,msd_ag_nsga2,nsga2,1468.8649999999998,0.0,True,518.0,2.0018675794928997e-105,72.59631647604256,31.316975689444007,52.01165737491101,21.01649935450405,4.9765625,2.121875,0.22195556640625,2.0018675794928997e-105,True
overall,runtime_sec,lower,640,msd_ag_nsga2,spea2,1468.8649999999998,0.0,True,3.0,1.7960703125998426e-106,72.59631647604256,30.26172726816003,52.01165737491101,21.147449270472862,4.9765625,2.3890625,0.2184423828125,7.08383219672424e-106,True
overall,runtime_sec,lower,640,msd_ag_nsga2,moead,1468.8649999999998,0.0,True,33.0,2.0675886746654653e-106,72.59631647604256,32.540807909311845,52.01165737491101,30.282685291487724,4.9765625,3.2890625,0.25368896484375,7.08383219672424e-106,True
overall,runtime_sec,lower,640,msd_ag_nsga2,nsga3,1468.8649999999998,0.0,True,0.0,1.77095804918106e-106,72.59631647604256,30.79394662500308,52.01165737491101,21.24722818750888,4.9765625,2.2234375,0.22294189453125,7.08383219672424e-106,True
overall,C,lower,640,msd_ag_nsga2,nsga2,1870.8962499999998,0.0,True,2843.0,9.190614449561304e-101,1021.3085836899421,1247.6865822620427,962.9269338410581,1146.1154958406091,1.253125,3.0953125,0.63253173828125,1.8381228899122609e-100,True
overall,C,lower,640,msd_ag_nsga2,spea2,1870.8962499999998,0.0,True,2443.0,1.475419114779501e-101,1021.3085836899421,1260.4144410061167,962.9269338410581,1154.9950898430902,1.253125,3.2421875,0.6391455078125,4.4262573443385026e-101,True
overall,C,lower,640,msd_ag_nsga2,moead,1870.8962499999998,0.0,True,0.0,1.77095804918106e-106,1021.3085836899421,1671.5200458444676,962.9269338410581,1578.5517979304072,1.253125,4.96875,0.85514892578125,7.08383219672424e-106,True
overall,C,lower,640,msd_ag_nsga2,nsga3,1870.8962499999998,0.0,True,13536.0,1.0637581981030932e-80,1021.3085836899421,1191.2954215965615,962.9269338410581,1086.6247058545364,1.253125,2.440625,0.5988720703125,1.0637581981030932e-80,True
overall,A,lower,640,msd_ag_nsga2,nsga2,164.9012500000008,1.2989072075648381e-34,True,51833.0,2.211426144869095e-27,1152643.9768569162,1432622.1906215854,979273.7060971973,1087134.8808168261,2.528125,3.25625,0.56092041015625,6.634278434607285e-27,True
overall,A,lower,640,msd_ag_nsga2,spea2,164.9012500000008,1.2989072075648381e-34,True,55478.0,8.166199584557249e-24,1152643.9768569162,1439602.3043880963,979273.7060971973,1084943.555096222,2.528125,3.2109375,0.5556689453125,1.6332399169114498e-23,True
overall,A,lower,640,msd_ag_nsga2,moead,164.9012500000008,1.2989072075648381e-34,True,49022.0,2.6005357189209934e-30,1152643.9768569162,1464767.1797367467,979273.7060971973,1335008.6696377536,2.528125,3.396875,0.606435546875,1.0402142875683974e-29,True
overall,A,lower,640,msd_ag_nsga2,nsga3,164.9012500000008,1.2989072075648381e-34,True,88952.0,0.0036365525426706657,1152643.9768569162,1346511.145088389,979273.7060971973,1002024.0209803078,2.528125,2.6078125,0.51364013671875,0.0036365525426706657,True
overall,G,lower,640,msd_ag_nsga2,nsga2,1268.5437500000007,2.1987927159128058e-273,True,94799.0,0.09720560395949775,63.38165464783733,62.969686111836566,62.21703042719818,62.02677479900147,2.584375,2.478125,0.4965185546875,0.12830990361347283,False
overall,G,lower,640,msd_ag_nsga2,spea2,1268.5437500000007,2.1987927159128058e-273,True,93898.0,0.06415495180673642,63.38165464783733,62.90434014656715,62.21703042719818,62.58931912481559,2.584375,2.4953125,0.49641845703125,0.12830990361347283,False
overall,G,lower,640,msd_ag_nsga2,moead,1268.5437500000007,2.1987927159128058e-273,True,3.0,1.7960703125998426e-106,63.38165464783733,79.2204793630198,62.21703042719818,76.79138857118892,2.584375,4.9890625,0.67581298828125,7.18428125039937e-106,True
overall,G,lower,640,msd_ag_nsga2,nsga3,1268.5437500000007,2.1987927159128058e-273,True,88238.0,0.0022084642094600173,63.38165464783733,62.76277218713549,62.21703042719818,61.00297855840595,2.584375,2.453125,0.49595458984375,0.006625392628380052,True
overall,AS,higher,640,msd_ag_nsga2,nsga2,1079.3724999999995,2.2396749431805986e-232,True,86925.0,0.00083399851056284,0.3079070700342574,0.29887985626424346,0.27632251553531384,0.2667348929008414,2.525,2.6640625,0.50334228515625,0.00250199553168852,True
overall,AS,higher,640,msd_ag_nsga2,spea2,1079.3724999999995,2.2396749431805986e-232,True,94126.0,0.07148610208382657,0.3079070700342574,0.3016245539346808,0.27632251553531384,0.2677507194632679,2.525,2.6609375,0.49897216796875,0.12305272248501772,False
overall,AS,higher,640,msd_ag_nsga2,moead,1079.3724999999995,2.2396749431805986e-232,True,2830.0,8.661146499906124e-101,0.3079070700342574,0.1814479476998673,0.27632251553531384,0.1692651297222446,2.525,4.8203125,0.740322265625,3.4644585999624496e-100,True
overall,AS,higher,640,msd_ag_nsga2,nsga3,1079.3724999999995,2.2396749431805986e-232,True,93811.0,0.06152636124250886,0.3079070700342574,0.31021579021294887,0.27632251553531384,0.2832997803243907,2.525,2.3296875,0.484013671875,0.12305272248501772,False
