algorithm,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
moead,main_30_3,multi_hotspot_boundary,519806.7335981348,138722.3404762456,494714.9191145821,0.2651901353527692,0.0724961441866865,0.2629437231604047,942.2358247991782,92.6483475658074,922.9268208195924,41.45249170736564,4.478161329041763,41.73371107372708,0.0266090260198379,0.0320458253115228,0.0098315766726629,0.6738354645521809,0.118872372056845,0.6772602213894575,1.0,0.0,1.0,,,,,,,,,,,,,0.2778150877751613,0.0736549331249784,0.2766608695225445,505436.2232169177,140700.3403252369,482130.5901523733,929.391207380184,92.17968895841824,912.348087516522,40.629515772515695,4.483238062954878,40.85576342044974,,,,,,,,,,,,,,,,,,,23.7875,11.770401172007691,22.5,15.724684629638796,1.1594625989396146,15.382044333033264,4.25,0.8874119674649424,4.0,55.986946013625,39.12823152035201,59.723245155,25.14920283181521,17.31411061264317,27.637301546500836,3.0,0.0,3.0,80
moead,main_30_3,remote_hotspot,914550.7674506588,323663.42695554986,884903.2562894048,0.1106694623623402,0.0514230557173207,0.1016107378852586,1119.0869602393072,123.09574987044896,1134.1157100157948,49.34271912080179,2.77786415537275,49.93120446148616,0.0542370812818866,0.0380417049201776,0.0510880658170884,0.6388946507710491,0.141576788976732,0.6182753557345542,1.0,0.0,1.0,,,,,,,,,,,,,0.1141568772944846,0.052074323623704,0.1074656791113539,902314.7692405728,325502.3376998198,882512.9524813802,1105.221782619156,125.50730021463237,1121.718725045302,49.227950583094845,2.7879345287173645,49.67301302546837,,,,,,,,,,,,,,,,,,,14.6625,9.507817507188491,13.0,15.99536068593734,0.6767887575296585,15.944579104078002,5.2875,0.7614747205259016,5.0,89.34318213525,42.97622795264227,90.313893,38.51970226066458,17.987799299762298,38.898340300327405,3.0,0.0,3.0,80
moead,main_50_5,multi_hotspot_boundary,851658.8072933035,148960.36279703127,836025.232085407,0.2621292805806248,0.044123249890961,0.2545851067229189,1566.1513455941963,85.36219903727748,1570.277378851668,69.36950063023156,4.934471183362468,69.26115476101046,0.0063797102818431,0.0109660065365138,0.0,0.7485401411204551,0.0662211525433667,0.7531043444652119,1.0,0.0,1.0,,,,,,,,,,,,,0.2738975443318314,0.04535594353336,0.2673340111113857,837007.4457912113,149734.67914589169,820615.0329497559,1553.9383397789695,85.00139152362438,1558.0040442648367,68.41130060621056,5.12507130981355,68.34666175373567,,,,,,,,,,,,,,,,,,,26.7,13.293231360357796,26.5,31.57078587298747,1.8019403551986908,31.85689312487375,7.0,0.9617692030835672,7.0,72.10434109925,20.63524626808236,73.22054805000002,30.076014332736303,8.732847067420433,30.70289570562319,5.0,0.0,5.0,80
moead,main_50_5,remote_hotspot,1243474.1637374167,414533.987482234,1168533.860389044,0.0945527493472097,0.0426997592637606,0.0867745874114002,1705.3310517076582,160.8325187719758,1706.4839672757737,83.29425057918509,3.697888852555194,83.90919339855087,0.0734361254052358,0.0394233598372284,0.07804828864023,0.5663459406244377,0.1200171562885334,0.5419023611386053,1.0,0.0,1.0,,,,,,,,,,,,,0.0974247246660277,0.0439766804695836,0.0896181768644088,1226332.7625596586,417013.9202759124,1154992.3039847107,1689.155494847615,162.13522207518503,1662.7084859520075,83.10281645349896,3.755652062587481,83.79995412485272,,,,,,,,,,,,,,,,,,,20.7375,11.377328058467858,20.0,33.5098111363739,1.3929724074286811,33.49584802100435,7.75,1.1884864324004714,8.0,106.36234070599998,30.1982283213125,101.58501948499998,43.59981408001,11.828704993582818,44.25052589923131,5.0,0.0,5.0,80
moead,main_80_7,multi_hotspot_boundary,1719936.1065084047,259132.00328722835,1740864.6243618403,0.2534356455802217,0.0536724376194252,0.2440984680826699,2343.024694521191,126.82751740615362,2333.9186716967333,109.20048531881211,8.964203625749265,111.04025181296991,0.0004257040558606,0.0026626606744899,0.0,0.8890729123849344,0.0705788635877478,0.8795431983561879,1.0,0.0,1.0,,,,,,,,,,,,,0.2597521940205397,0.0545799532270959,0.2502849006857605,1701549.7641668762,259290.24354341193,1722412.6437349117,2326.2903315110043,126.89251419352856,2321.3640575203863,108.17708884596098,9.075042771829988,109.55506868009888,,,,,,,,,,,,,,,,,,,28.825,13.026679354309753,27.5,53.442526602599536,1.4781777749176814,53.83872445893939,11.55,1.1926860441876563,12.0,95.76772334,22.41305131960716,95.32069443,35.283753199710105,6.953830601464595,35.72161913714381,7.0,0.0,7.0,80
moead,main_80_7,remote_hotspot,2624173.3325597444,685235.5461617993,2541814.112478198,0.1155208541696239,0.0317311719177904,0.1155634768941601,2572.959959913132,206.27009842448575,2608.164624402088,130.800599113104,4.2986832060819244,130.77399939196812,0.0707313661813965,0.0398517958896672,0.072520727905438,0.6586271898422792,0.1525369033095396,0.633432423118969,1.0,0.0,1.0,,,,,,,,,,,,,0.1188981432046508,0.0312327746838853,0.1197956259412669,2608149.6489668237,686934.834000945,2531938.132175342,2551.8748790000523,206.7588677308797,2564.2385557857674,130.44018104830974,4.294472468716145,130.2598638193755,,,,,,,,,,,,,,,,,,,23.8375,13.49855895086583,25.0,56.50712352703558,9.12023866255505,55.94791629188694,12.3375,1.3411166056685748,13.0,120.796288672,31.541668069655145,121.56763481,42.82956033821025,11.30307374866981,44.27809335185532,7.0,0.0,7.0,80
moead,mechanism_50_4,multi_hotspot_boundary,1591018.0369878605,389244.5289112989,1566484.686147851,0.2214835755129317,0.0498461135349758,0.2266163761744586,1512.077297870317,93.86505641548274,1538.0511022694511,70.01874819495929,5.80229337906077,70.04427452135609,0.0053110204734222,0.0163056511126311,0.0,0.9420932106510002,0.1167345300070559,0.9843921922673332,1.0,0.0,1.0,,,,,,,,,,,,,0.2283305119996982,0.051533016376344,0.2338263713146911,1578151.450970384,391004.19641410705,1560858.7916883985,1501.7687103653384,95.769156952289,1527.2958489353982,69.28630976398081,5.842048190594074,69.60879727694054,,,,,,,,,,,,,,,,,,,20.1375,11.484493621836355,19.0,26.23989194280002,0.5683884498199168,26.316558104474097,7.6875,0.4897384506039933,8.0,73.21640002025,34.126657379945435,66.97928703000002,28.29746864947962,12.673818675531932,26.114369858728104,4.0,0.0,4.0,80
moead,mechanism_50_4,remote_hotspot,2253519.489758449,657839.9596250439,2217823.4272044804,0.1286018786932171,0.0355135530279278,0.1311642732790006,1611.2932321107596,120.87223342311572,1605.9237450043645,80.28504023969901,3.161687902755756,80.69169720784406,0.0204877988224311,0.023134945084304,0.012369017436928,0.8168671255006947,0.167763859686414,0.8204197924927539,1.0,0.0,1.0,,,,,,,,,,,,,0.1314039980721745,0.0366593541947643,0.1321036099937356,2243461.5436944575,658685.9306193659,2208362.816723183,1600.283399193304,121.72136902211837,1585.2158003812792,80.10891059519913,3.2099602909732337,80.4079653630474,,,,,,,,,,,,,,,,,,,16.1875,9.80700483073196,15.0,27.336278877122098,2.891630683935896,27.31285747908987,7.775,0.4736823830374104,8.0,77.1916261935,43.1959631765552,69.11597046000003,30.460869503419236,16.80359715684676,27.73668866742387,4.0,0.0,4.0,80
msd_ag_nsga2,main_30_3,multi_hotspot_boundary,547446.0123208382,63521.577806453315,547049.5357223286,0.4623023755190676,0.1063960544542029,0.4732647383180742,609.3974306216002,35.35263431734318,606.7944977512004,29.054360033112772,4.879446533148944,28.768182206843875,0.5712742465509043,0.0505189083058295,0.5706147087193183,0.0536682244713612,0.014742746870982,0.0526182350145698,1.0,0.0,1.0,0.2375,0.8978272383927769,0.0,600.0,0.0,600.0,4739.3375,64.82725965016569,4761.5,2214.9625,144.2034538204616,2254.5,0.5481885387397488,0.0991658284060528,0.5721801774081068,250214.95302821448,18545.292235091816,252014.80631950643,527.3299402227912,37.31626871188872,529.797756330356,20.94115504335182,5.702689499703324,19.383739113160324,879.9,373.6473805608705,874.0,5339.0875,60.031698657875744,5335.0,914.2875,393.9107828477789,889.0,74.3125,81.26401321464502,46.0,3107.5375,142.8661912201414,3125.0,3568.7,53.74137140043972,3560.0,119.0125,1.2092740590949596,119.0,17.480021420351115,1.5679764709966624,17.47745066648349,2.975,0.1561249499599599,3.0,8.965186222125,19.76050259423396,0.0,4.19861163909381,9.260515955051144,0.0,2.975,0.1561249499599599,3.0,80
msd_ag_nsga2,main_30_3,remote_hotspot,763114.464660509,187238.93322875045,683779.028137564,0.1753342052088522,0.0421835199434924,0.1756740263579165,694.610139033978,64.12269750316615,695.9743640613447,41.53442698876317,1.92049385229058,41.074031591694016,0.624687910540669,0.0422136553175292,0.6282090431103162,0.0405622021255845,0.0141934995016131,0.0368049307660899,1.0,0.0,1.0,1.5,2.7658633371878665,0.5,600.0,0.0,600.0,4639.3,136.86411143904743,4677.5,1514.8375,307.6161749546828,1569.5,0.3112363711848542,0.0539269796778212,0.309389694226813,267847.2826825014,18695.10356380642,266941.8008017796,578.1589519626225,64.95811126250487,599.4555457324807,32.73509332696035,2.783599873715861,33.211091402843664,2160.55,432.2091767882769,2234.5,5337.775,60.13151731829157,5332.0,2490.225,469.9008665399544,2541.5,654.5625,290.4973254502526,629.5,3385.2,89.22939538067038,3397.5,3567.7125,62.09915332554865,3567.0,118.975,1.2547410091329605,119.0,24.86041226776433,2.470518178434815,24.741971166455187,3.275,0.4736823830374104,3.0,32.851019874375,48.47106848916494,0.0,15.210316076597984,21.9258191920034,0.0,2.95,0.2179449471770336,3.0,80
