algorithm,scenario_id,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id01,main_30_3,multi_hotspot_boundary,603335.0087470983,29747.78856800229,603465.9692081762,0.21836230228886433,0.040820567316589146,0.20499317254640076,651.6760414092296,25.698788648853725,650.0085247013798,39.1374654108355,1.6453674294107716,38.792555241954915,0.5543302504626875,0.01854791834066815,0.5534893081790015,0.03345558765225544,0.006168990957952422,0.03227820969269278,1.0,0.0,1.0,0.4,0.9165151389911681,0.0,600.0,0.0,600.0,4713.8,59.62683959426325,4735.0,1966.6,71.40896302285869,1958.5,0.2933251745723982,0.027197729825368066,0.2961634666607723,223677.17012170554,5544.691003580942,222636.46398639373,517.58616456502,1.6536431704748151,517.545157622137,35.202739282018975,0.8210883878308487,35.14724489899399,2693.4,462.4692854666134,2633.0,5358.4,53.342665850142886,5364.0,799.6,211.5184152739425,754.0,3007.7,520.8760025188336,2947.5,3085.1,128.56084162761226,3116.5,3587.1,44.23222806958746,3576.5,119.3,0.7810249675906654,119.5,36.22716107100714,4.262440563232867,36.36990631255321,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id02,main_30_3,multi_hotspot_boundary,559804.0612760994,47230.88894319572,553885.6061655908,0.29910890413288166,0.02805453452591805,0.3070200601833889,617.1555359091516,21.441591978003366,613.8344403218846,36.76861927432865,2.167836844534101,37.466973837952345,0.5657170364743533,0.015470108090075999,0.5716174730253728,0.035054008631459785,0.008472487512045906,0.034663453239586396,1.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,600.0,4761.4,67.96499098800794,4786.5,1963.8,62.213824830177415,1974.0,0.38067474395785017,0.02468531721872707,0.39089359665696305,218667.53007729352,16258.991542389202,219351.81100292585,538.1059917608757,5.500280814286847,538.212384443854,28.33749227937592,0.9174251110861734,28.21201465674745,2793.5,373.37039250588685,2885.0,5372.1,81.87728622762238,5405.0,755.6,312.1423393261478,683.0,3041.8,427.490537906981,3163.0,3104.3,90.53071302049929,3097.5,3549.0,60.802960454241045,3544.5,119.0,0.7745966692414834,119.0,35.206897466699594,4.235029513583002,36.04890458355658,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id03,main_30_3,multi_hotspot_boundary,477341.33463410987,55263.75098223275,471721.95109943976,0.2510451074640918,0.06727041977373008,0.24754138591533922,656.7013360337658,31.412408207342988,659.2849989736981,37.601374547645605,0.8931426862202133,37.560596806168775,0.6090696625668939,0.019715326232913548,0.6102169393568364,0.03640842526676412,0.006102759122224913,0.03544215574220888,1.0,0.0,1.0,0.8,2.08806130178211,0.0,600.0,0.0,600.0,4748.4,30.117104774529707,4746.5,2114.2,63.692699738667066,2115.5,0.33341154176393645,0.027699063194696966,0.3465528228643437,229413.79167250235,5282.1935693409705,229930.80777225835,536.8755470152825,4.17517004120818,536.215672750863,33.67550631685797,0.8400443818598424,33.56557745376958,2879.7,296.88484299472077,2844.0,5325.0,48.71139497078687,5325.0,785.6,161.3481949077832,794.0,3091.3,328.5306834985128,3059.5,3007.2,100.03879247571913,3015.0,3581.0,63.799686519606034,3569.5,118.6,1.1135528725660042,119.0,35.32151314557996,3.0555003391772884,34.327155436971225,3.0,0.0,3.0,5.826520636000001,10.974677184914203,0.0,2.7466481682926376,5.173512439190748,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id04,main_30_3,multi_hotspot_boundary,468997.58266027813,29683.865026478783,481862.9919039111,0.34410118863284056,0.053037204965147376,0.32201822888385623,635.7590589369316,14.610047847395823,639.963786632822,35.18778079617406,2.416864447955072,35.57995071168456,0.5176967565573388,0.034459905473628,0.5124047874195073,0.05145526524934692,0.020250256141361264,0.050975292258519406,1.0,0.0,1.0,0.2,0.6000000000000001,0.0,600.0,0.0,600.0,4584.6,189.98115696036805,4611.5,2140.7,93.07314327989573,2175.5,0.3918348348722268,0.034954200755122705,0.38509664795067033,232888.55012826115,7307.606412842728,229175.57881603233,584.3032311006972,10.521661888000143,585.0116932399169,27.155464714997947,2.509528125152373,27.408214976506628,3583.0,262.3657752070571,3691.5,5331.8,54.00148146115993,5348.0,1103.4,287.78992338162226,1143.5,3966.4,296.96875256497947,4060.0,3154.5,80.9743786638712,3168.0,3594.7,50.76228915248011,3604.0,118.4,1.624807680927192,118.5,42.47822659171652,3.5202305695419995,44.040264875628054,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id05,main_30_3,multi_hotspot_boundary,425874.84320038726,28386.921978985007,425670.94344743213,0.15616728586849993,0.024924858957401774,0.15509014648623656,632.8347121713542,10.047806535126798,634.1486828140037,41.40370700727492,0.776993277683639,41.574976485789975,0.5793145151956176,0.042467829510859055,0.5665910997912988,0.04944106845666993,0.01567434790346828,0.04528951419677091,1.0,0.0,1.0,0.3,0.6403124237432849,0.0,600.0,0.0,600.0,4667.8,99.42514772430565,4714.0,1256.1,106.2360108437812,1210.5,0.24329458711101387,0.022013038880448962,0.24097038725892922,225101.2696154816,8698.10131133528,222978.2275908917,549.064330419889,27.805634375811632,553.7166098118378,37.2935586517114,0.5357338068237348,37.3012904237691,2925.1,218.13502699016496,2903.5,5380.2,65.82066544786676,5364.0,1083.4,325.65816433800643,1045.0,3160.0,261.87401551127596,3092.0,3243.1,36.02346457519043,3239.5,3589.3,43.67390525245023,3583.5,116.4,1.9595917942265422,116.0,34.72507609988097,2.960755905006344,34.48248766607139,3.0,0.0,3.0,40.90589207200001,12.9653877678128,41.22225345000001,19.283222449730825,6.111942407555696,19.43235663352371,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id06,main_30_3,multi_hotspot_boundary,384205.80927322817,34443.491818129056,377181.7858585488,0.3470664018914305,0.03432645468742689,0.3596700306147719,591.0442012383392,27.003048312822457,597.223977427004,33.767578467036245,2.051262447721284,33.78788771087169,0.5544302148068084,0.019557277758533626,0.5514738125810357,0.04812066540053413,0.01171952734780131,0.043816122439670036,1.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,600.0,4734.0,52.178539649936546,4752.0,1922.8,76.8762642172472,1938.0,0.42792405434848096,0.02476626125644364,0.43043737933750226,234722.62309787158,12298.73779074403,235273.09955457633,518.1508052815273,23.662589282740495,526.5958866071412,23.847228963077328,1.2977610518011338,24.08828802207563,2730.3,422.4762833580129,2835.5,5311.3,96.5236240513171,5347.5,863.1,276.87522460487503,835.5,2879.8,459.6754942347917,3004.5,3191.6,84.10612343937865,3181.0,3573.3,48.402582575726264,3582.0,117.0,1.0954451150103321,117.0,33.16399406262208,4.358348530274761,33.38497343752533,2.9,0.3,3.0,40.407076907,20.706693105277594,41.094364125,18.959528427543894,9.788022577750455,19.37206902755779,2.9,0.3,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id07,main_30_3,multi_hotspot_boundary,487389.64201118454,39953.47494009126,483303.3819225055,0.366033513810748,0.08925807690474373,0.352345761753593,577.3510094202977,23.177397769782456,569.4333868655588,31.41413959271086,3.283925338728515,30.70100770661034,0.5104052721973331,0.03545411880669091,0.5019286338726957,0.07501269470750296,0.019935055101263286,0.07342775068577931,1.0,0.0,1.0,0.1,0.30000000000000004,0.0,600.0,0.0,600.0,4731.9,72.90192041366264,4771.5,2057.3,73.2598798797814,2065.0,0.46765461537045017,0.06260811292859449,0.45767961699624765,247836.42105936515,12152.68329174227,248630.5688650647,449.49193831017044,30.325734484553724,463.9038167363494,26.53788865449389,1.8088849827102527,26.498806145780335,2823.4,373.10030822822966,2935.0,5311.6,64.93258042000178,5320.5,616.4,253.93117177692068,550.0,2916.6,381.74551732797073,3026.0,3100.4,89.45971160248618,3093.5,3580.1,52.24643528509864,3572.0,117.2,2.5612496949731396,118.0,32.648652275116184,2.8565407843450608,32.918961583520286,3.0,0.0,3.0,25.217269924999997,28.084717239824712,21.741879435,11.887535044652719,13.239262671991193,10.249220256152562,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_multi_hotspot_boundary_id08,main_30_3,multi_hotspot_boundary,544784.6859464451,69026.23754453633,571287.0693867633,0.37244801637766833,0.054696307189200336,0.37918102814564314,613.2176317698447,34.529170417116205,617.667797693473,34.53364819517567,3.906399500426501,34.84362529546755,0.5133920198203398,0.03500416618128542,0.5063787515758535,0.06429478292535197,0.016669449930912104,0.0658965145083445,1.0,0.0,1.0,0.5,1.2041594578792296,0.0,600.0,0.0,600.0,4736.1,40.071061877619364,4729.0,2053.8,59.52612871672405,2055.5,0.4560585496984163,0.029920422459141477,0.4557311794904244,231847.41461711779,13514.087191049659,232204.02650303498,513.9932346183816,23.874157559087223,523.2034018767914,26.144649306450656,1.0810255215990983,26.359411191302346,3110.4,251.8373284483458,3035.0,5379.8,82.31014518271729,5376.5,845.0,227.84600062322798,845.0,3369.0,298.14727904175146,3235.0,3175.9,88.23315703294313,3180.0,3567.8,75.1688765380992,3581.0,119.1,0.3,119.0,37.36671505405102,2.881816704086824,36.59208197938278,2.9,0.3,3.0,3.642073830000001,10.926221490000003,0.0,1.7168900685167077,5.1506702055501234,0.0,2.9,0.3,3.0,10
msd_ag_nsga2,main_30_3_remote_hotspot_id01,main_30_3,remote_hotspot,471119.35266825615,15034.94475209368,465037.1676965183,0.06635695294491566,0.01075941785183,0.06988406909671367,717.6556211118639,9.823263110541468,719.1351208168105,48.91634524541399,0.26716553982387165,48.812310788712836,0.6730984820376795,0.006404159951407951,0.6727052359281956,0.02257290674773114,0.002553903115206554,0.022325960088638717,1.0,0.0,1.0,1.4,2.33238075793812,0.5,600.0,0.0,600.0,4611.7,73.45209323089438,4629.0,175.7,34.464619539463946,174.5,0.0876294955250568,0.0030557502629059243,0.08767312574827475,218268.04391010967,13501.579996174605,217734.1085482724,621.9021058794996,6.7786671438602735,620.7618442721529,47.84132808796949,0.039453313127008775,47.810924380687695,2864.2,116.9331432913697,2847.0,5382.2,67.78613427538112,5382.5,1457.3,215.3717948107412,1439.5,3608.1,179.01142421644494,3554.5,3309.7,78.48190874335307,3306.0,3565.6,47.17668915894799,3563.5,117.7,1.345362404707371,118.0,38.95696864565834,2.177119960451729,38.79640681191813,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_remote_hotspot_id02,main_30_3,remote_hotspot,345538.5927733012,47395.09374662034,341632.9661785385,0.023561637586547796,0.0032234973177771883,0.02469919208474954,576.1320897728388,62.90883395238754,572.1958873773237,53.22112879447538,0.17091202839516523,53.25902423745752,0.7444485718456797,0.10098370822863047,0.798922353669144,0.06666359014831065,0.04812382774505358,0.04077743251391186,1.0,0.0,1.0,0.7,1.004987562112089,0.0,600.0,0.0,600.0,3838.4,229.68683027113244,3766.0,143.2,59.16722065468345,145.0,0.027700111998423798,2.1666689270499745e-17,0.02770011199842378,238078.63603917888,15565.807502679183,241652.3775878495,499.8062448090335,52.753980779543674,476.3509439574108,52.80888625040639,7.105427357601002e-15,52.80888625040638,3329.9,220.82819113509942,3314.5,5399.7,50.07204809072623,5381.0,2253.4,280.53955157873907,2349.0,4293.8,117.01692185320891,4253.5,3307.6,54.54942712806432,3291.0,3585.2,35.91322876044425,3571.5,76.6,19.21041384249699,72.5,44.22457425815519,3.570378729534316,43.78039062500466,2.5,0.5,2.5,28.364302628999997,57.311793857642364,0.0,13.371060488395546,27.01703871913629,0.0,2.5,0.5,2.5,10
msd_ag_nsga2,main_30_3_remote_hotspot_id03,main_30_3,remote_hotspot,502132.88015364594,36134.32937342166,500751.9004457273,0.11771660181943269,0.029109218795614917,0.12102485962264212,690.4582263592545,24.441360734431953,698.2902829431464,46.80162411989612,0.9608452409210136,46.78196113281612,0.5798098490715046,0.013876526574666193,0.5822029957615019,0.030387048492605595,0.005679432450464418,0.030218388328371933,1.0,0.0,1.0,2.2,2.1354156504062622,2.0,600.0,0.0,600.0,4591.6,128.15709110306773,4584.5,389.5,82.01737620772808,379.5,0.1633804475705092,0.013687717782613507,0.16182716360595806,230382.97514609867,9144.932124660734,229415.67677278293,615.464718540241,10.144196410716207,616.3005253279482,43.87408876016195,0.39370016926044143,43.86106837371763,2971.8,241.28025198925835,2946.0,5425.4,72.37844983142426,5447.0,1530.4,255.30146885593902,1429.5,3997.1,189.67311354011142,3940.0,3461.2,60.181060143536854,3476.0,3637.1,53.65528864893004,3649.5,116.8,0.9797958971132712,117.0,42.48102359569166,3.404173262878723,41.71989829093218,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_remote_hotspot_id04,main_30_3,remote_hotspot,547301.3539766985,18064.12095021877,550412.2548893174,0.08227240997747648,0.019792107699741976,0.08604938906279568,676.8900568281806,17.55563165083789,674.4340144549149,44.675968230894526,1.0038064770902304,44.395804460960385,0.6277548198403489,0.01094832595929155,0.6233553519425759,0.0272881315388518,0.005131473656103766,0.028615367561880087,1.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,600.0,4699.4,100.54272723573794,4756.5,225.0,103.22209065892824,198.0,0.10610212128737999,0.009444661965827307,0.10616393035872139,234358.2634779291,13007.262961615541,228771.5708431147,572.2682193246651,4.738354300183769,571.6648618973351,43.170500373564764,0.23597591852240885,43.213510713684144,2777.6,384.5478383764496,2696.5,5383.6,64.47666244463962,5408.5,1384.8,434.932362557674,1328.5,3429.6,481.3988367248097,3317.0,3125.5,129.7607413665628,3104.5,3587.2,50.54265525276645,3582.0,117.9,0.9433981132056604,118.0,37.63730537928641,5.255864712339975,37.28602943755686,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_remote_hotspot_id05,main_30_3,remote_hotspot,576639.314620013,38522.126956856846,578805.7960908217,0.07577476150012416,0.011941639266235671,0.07464979505801549,694.8711998309079,20.31815176849792,689.7704456196083,45.68354578442585,0.576546756154168,45.770059204994354,0.6211650687340928,0.007510677123675542,0.6192576184039442,0.026281581230882166,0.0026126868875554965,0.0262046568685746,1.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,600.0,4728.7,50.00609962794539,4740.0,160.0,55.706373064488766,161.0,0.10154382035442981,0.009474226090442862,0.09963560899378042,253521.34555486348,14448.590119078306,260721.09702096554,600.0531344324207,4.68231097613261,601.2014458437138,44.56060146709537,0.3496264565455477,44.57104231337955,2491.5,213.67557183730665,2478.5,5423.4,45.12249993074409,5433.5,1382.3,257.89612249896277,1357.0,3247.7,253.56500152820777,3231.0,3348.8,55.92638017966119,3348.0,3584.2,40.04447527437461,3593.5,117.3,0.9,117.0,35.83618309570011,2.633292727568172,35.76030620792881,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_remote_hotspot_id06,main_30_3,remote_hotspot,366285.0818364893,23833.646931192012,357041.97818900587,0.0907954569437284,0.0019429806793979582,0.09077128108823179,696.2315263267874,12.291927282774438,700.5473363830026,51.27613629168816,0.058289420381939176,51.27686156735305,0.7708240890765257,0.011571757387147856,0.7710759439253922,0.02487143894074258,0.006236841907941333,0.02465241223219479,1.0,0.0,1.0,0.4,0.66332495807108,0.0,600.0,0.0,600.0,4761.3,34.19371287239805,4776.0,84.0,33.87034100802648,91.0,0.1038310747824803,0.0016461349456705235,0.10411407875402645,240215.88041706482,9284.005741901612,243225.75407357875,647.6629588973399,7.9381239469539056,651.5643278735718,49.95637166144388,0.04938404837011606,49.947881542297495,2865.9,195.61004575430167,2855.0,5403.5,71.56011458906421,5400.0,1136.2,223.98383870270644,1179.0,3800.8,160.78358125132056,3818.0,3530.6,65.03568251352483,3554.5,3620.4,70.30675643208126,3638.5,117.1,1.1357816691600546,117.0,39.531476533273235,1.9123842972797342,39.438258770969696,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10
msd_ag_nsga2,main_30_3_remote_hotspot_id07,main_30_3,remote_hotspot,366567.13961620943,18323.50824714234,372569.8739310901,0.1392968106255788,0.02041166919653541,0.14102263453240665,567.9388273789481,57.73982402672646,564.8516243459367,46.484887293716994,0.8612644668395,46.449978815094326,0.6570114153013621,0.055433046022376344,0.6617961806261445,0.04742518467542421,0.027514976218045797,0.04826516755172519,1.0,0.0,1.0,3.1,4.323193264243458,1.0,600.0,0.0,600.0,4366.7,206.03982624725737,4356.5,649.7,134.12982516949762,612.5,0.2152082978531118,0.013464739172604732,0.22142005663316322,244624.6357018402,13736.702730324678,244576.28821600642,453.4181709497301,29.463800878879443,443.4283032305153,43.85341070448006,0.4198994628441955,43.96173423104202,3244.6,224.4799322879442,3277.5,5402.0,55.46891021103624,5408.5,2759.9,269.35161035345607,2714.0,3823.9,173.98646499081474,3843.0,3249.3,104.37054182095635,3287.5,3594.7,50.43817998302476,3592.5,115.9,2.4269322199023193,117.0,41.60925780839752,3.661092195329382,41.19256254204083,2.5,0.5,2.5,40.19893188299999,53.43924582426297,2.293737059999998,18.94995822061694,25.191502069220828,1.081278019589929,2.5,0.5,2.5,10
