scenario_id,algorithm,run_id,group_name,scenario_type,n,uav_count,HV,IGD+,runtime_sec,n_solutions,feasible_rate,C,A,G,AS,total_sorties,used_uavs,uav_load_std,uav_load_range,min_C,min_A,min_G,max_AS,mutation_cfm_attempts,mutation_cfm_accepts,mutation_bbr_attempts,mutation_bbr_accepts,mutation_bbr_overload_triggers,mutation_bbr_imbalance_triggers,ls_calls,ls_structure_moves,ls_time_moves,ls_boundary_balance_moves
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,1,main_30_3,multi_hotspot_boundary,30,3,0.8502426614643572,0.03467075994167114,16.422846333123744,13,1.0,524.3921924021477,117771.1922048054,0.0,1.0,3.0,3.0,12.037596274589525,27.85389538000001,516.823236479445,88297.7372777119,0.0,1.0,3645.0,1771.0,5387.0,2174.0,1.0,2250.0,600.0,1319.0,0.0,527.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,2,main_30_3,multi_hotspot_boundary,30,3,0.8722591196758758,0.017016513570112055,14.245372749865055,13,1.0,527.0614211238092,93547.15990456249,0.0,1.0,3.0,3.0,11.9194262114565,28.761888630000016,512.8372800402492,88297.7372777119,0.0,1.0,3737.0,934.0,5691.0,1474.0,0.0,1611.0,600.0,964.0,0.0,135.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,3,main_30_3,multi_hotspot_boundary,30,3,0.872269744829096,0.023892036156860478,13.391058332985267,12,1.0,527.059311998544,94883.63181589186,0.0,1.0,3.0,3.0,11.390838747067695,27.181507450000012,512.8351709149841,88297.7372777119,0.0,1.0,3587.0,871.0,5435.0,1151.0,4.0,1247.0,600.0,1156.0,0.0,231.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,4,main_30_3,multi_hotspot_boundary,30,3,0.8650321990153259,0.02205383812165275,15.991640832973644,16,1.0,526.6399362524949,93427.14317716178,0.0,1.0,3.0,3.0,11.733038207778621,28.340403760000015,516.1572943929484,88198.25434930305,0.0,1.0,3602.0,1156.0,5550.0,1173.0,0.0,1224.0,600.0,1810.0,0.0,1091.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,5,main_30_3,multi_hotspot_boundary,30,3,0.857445426029442,0.023783868102413917,13.334791833069175,11,1.0,528.4236076472669,92307.84875514015,0.0,1.0,3.0,3.0,10.3060237509852,25.21051643,514.4654829422495,88198.25434930305,0.0,1.0,3615.0,876.0,5455.0,1244.0,2.0,1350.0,600.0,760.0,0.0,137.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,6,main_30_3,multi_hotspot_boundary,30,3,0.8681699658451801,0.01879088470738934,14.260899083921686,9,1.0,525.5769904074783,93302.1939334682,0.0,1.0,3.0,3.0,11.56862807336371,27.181507450000012,518.19274273315,88297.7372777119,0.0,1.0,3648.0,1092.0,5551.0,1391.0,2.0,1449.0,600.0,496.0,0.0,104.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,7,main_30_3,multi_hotspot_boundary,30,3,0.8848229026484133,0.013181844824844307,15.15211124997586,12,1.0,524.9857461370729,95795.51371547957,0.0,1.0,3.0,3.0,11.998449854510435,28.132092810000003,511.42845463022314,88666.56625274665,0.0,1.0,3661.0,1298.0,5631.0,1697.0,3.0,1778.0,600.0,623.0,0.0,207.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,8,main_30_3,multi_hotspot_boundary,30,3,0.8996221586000069,0.002472650359145334,14.73217145819217,13,1.0,524.4976918915578,96639.1023002094,0.0,1.0,3.0,3.0,12.258328441909638,29.103775710000008,511.77433419523277,88297.7372777119,0.0,1.0,3722.0,916.0,5596.0,1391.0,2.0,1443.0,600.0,974.0,0.0,403.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,9,main_30_3,multi_hotspot_boundary,30,3,0.8439284085251072,0.04294645930592002,14.965357082895935,20,1.0,531.1670034904994,97929.96247092071,0.0,1.0,3.0,3.0,11.882257786875993,29.103775710000008,513.7050832587872,88297.7372777119,0.0,1.0,3650.0,1443.0,5479.0,1974.0,6.0,2079.0,600.0,1597.0,0.0,129.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,10,main_30_3,multi_hotspot_boundary,30,3,0.8461103274764987,0.03466494841223623,15.863593999994919,11,1.0,532.4830267049743,89243.13759529575,0.0,1.0,3.0,3.0,13.427778388502645,31.86570159,518.19274273315,88297.7372777119,0.0,1.0,3683.0,1617.0,5492.0,2039.0,0.0,2118.0,600.0,1241.0,0.0,507.0
main_30_3_multi_hotspot_boundary_id02,msd_ag_nsga2,1,main_30_3,multi_hotspot_boundary,30,3,0.9180807961594877,0.057860558480945734,12.797429041005671,10,1.0,525.8242713936208,82260.43171322685,0.0,1.0,3.0,3.0,14.13618590596392,34.25178433000001,517.7111390793245,75993.4509591569,0.0,1.0,3843.0,436.0,5632.0,1251.0,1.0,1459.0,600.0,624.0,0.0,0.0
main_30_3_multi_hotspot_boundary_id02,msd_ag_nsga2,2,main_30_3,multi_hotspot_boundary,30,3,0.9234973093117534,0.05477038104967758,13.44898649980314,8,1.0,525.0224393532211,83836.15753737494,0.0,1.0,3.0,3.0,18.612948924107712,39.59941125999998,516.6860279926038,75993.4509591569,0.0,1.0,3607.0,807.0,5581.0,2031.0,0.0,2355.0,600.0,446.0,0.0,3.0
main_30_3_multi_hotspot_boundary_id02,msd_ag_nsga2,3,main_30_3,multi_hotspot_boundary,30,3,0.964534610264654,0.0061240324721252475,13.736338292015716,4,1.0,519.7426504045017,80805.17132869182,0.0,1.0,3.0,3.0,19.963820162064682,44.64741156999999,517.0972278549411,76247.32936424881,0.0,1.0,3664.0,1126.0,5460.0,2067.0,0.0,2351.0,600.0,240.0,0.0,0.0
main_30_3_multi_hotspot_boundary_id02,msd_ag_nsga2,4,main_30_3,multi_hotspot_boundary,30,3,0.8991248063291827,0.07624499967972241,14.307342750020325,9,1.0,519.3314505421644,104058.01756693402,0.0,1.0,3.0,3.0,14.018013338793867,34.25178433000001,518.6715799235811,75993.4509591569,0.0,1.0,3786.0,1300.0,5755.0,2797.0,0.0,2932.0,600.0,673.0,0.0,0.0
main_30_3_multi_hotspot_boundary_id02,msd_ag_nsga2,5,main_30_3,multi_hotspot_boundary,30,3,0.9457153072705152,0.01986070470230448,13.328790250001475,10,1.0,521.4663596516531,81047.51677897594,0.0,1.0,3.0,3.0,20.772212854668187,46.37112082,517.9872373582118,76247.32936424881,0.0,1.0,3605.0,1070.0,5428.0,1935.0,1.0,2096.0,600.0,772.0,0.0,0.0
main_30_3_multi_hotspot_boundary_id02,msd_ag_nsga2,6,main_30_3,multi_hotspot_boundary,30,3,0.9724020474654496,0.0008637551469177303,13.899764541070908,6,1.0,519.7426504045017,80805.17132869182,0.0,1.0,3.0,3.0,19.963820162064682,44.64741156999999,517.0972278549411,75993.4509591569,0.0,1.0,3760.0,1271.0,5587.0,2284.0,4.0,2380.0,600.0,288.0,0.0,0.0
