scenario_id,algorithm,run_id,group_name,scenario_type,n,uav_count,HV,IGD+,runtime_sec,n_solutions,feasible_rate,mutation_cfm_attempts,mutation_cfm_accepts,mutation_bbr_attempts,mutation_bbr_accepts,mutation_bbr_overload_triggers,mutation_bbr_imbalance_triggers,ls_calls,ls_structure_moves,ls_time_moves,ls_boundary_balance_moves
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,1,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.810982291819528,1,0.0,5428.0,4639.0,8121.0,0.0,8121.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,2,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.521600124891847,1,0.0,5303.0,4560.0,8193.0,0.0,8193.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,3,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,21.206227499991655,1,0.0,5497.0,4362.0,8179.0,0.0,8179.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,4,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,19.74874366610311,1,0.0,5216.0,4522.0,8062.0,0.0,8062.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,5,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.945390791865066,1,0.0,5443.0,4687.0,8193.0,0.0,8193.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,6,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.37910145893693,1,0.0,5375.0,4531.0,8183.0,0.0,8183.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,7,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.85155558306724,1,0.0,5492.0,4582.0,8255.0,0.0,8255.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,8,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,21.15211254102178,1,0.0,5336.0,4575.0,8116.0,0.0,8116.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,9,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.630812667077407,1,0.0,5382.0,4594.0,8111.0,0.0,8111.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id01,msd_ag_nsga2,10,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.16255912487395,1,0.0,5387.0,4631.0,8207.0,0.0,8207.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id02,msd_ag_nsga2,1,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,21.03752254182473,1,0.0,5502.0,4322.0,8060.0,0.0,8060.0,0.0,0.0,0.0,0.0,0.0
mechanism_50_4_single_uav_multi_hotspot_boundary_id02,msd_ag_nsga2,2,mechanism_50_4_single_uav,multi_hotspot_boundary,50,1,0.0,inf,20.119923332938924,1,0.0,5335.0,4215.0,8148.0,0.0,8148.0,0.0,0.0,0.0,0.0,0.0
